# ----------------------------------------
# Raw data
# Pages
# 20190103-20210103
# ----------------------------------------

Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
Broiler Chicken Side Effects: 7 [Dangerous] Health Hazards of Eating Broiler Chicken | moonchat.in,"53,155","47,567",00:04:45,"47,468",89.71%,88.45%,$0.00
Iron Rich Fruits: 11 Wonderful Fruits that are Rich in Iron for Vegetarians | moonchat.in,"5,003","4,625",00:03:58,"4,612",92.04%,91.03%,$0.00
moonchat.in | We Care For You,"2,279","1,977",00:01:09,"1,880",83.46%,78.32%,$0.00
10 Wonder Foods Increase Sperm Count for Men | moonchat.in,"2,052","1,874",00:03:08,"1,804",90.58%,87.77%,$0.00
Vitamin E Foods: Top 20 Foods Rich in Vitamin E and Their Benefits! | moonchat.in,"1,749","1,604",00:02:46,"1,599",91.87%,89.59%,$0.00
Plastic utensils and their harmful effects | moonchat.in,"1,347","1,218",00:05:14,"1,216",90.62%,89.38%,$0.00
Vitamin K Rich Foods: Top 20 Foods Rich in Vitamin K and their Benefits | moonchat.in,"1,185","1,059",00:03:52,"1,045",89.86%,87.68%,$0.00
Amla : 10 Wonderful Benefits of Amla Indian Gooseberry | moonchat.in,"1,165","1,074",00:03:17,"1,066",91.28%,89.87%,$0.00
Vitamin C Foods: Top 20 Vitamin C Foods and their Benefits | moonchat.in,"1,089",976,00:05:39,962,91.79%,88.15%,$0.00
Turkey Meat: 10 Amazing Health Benefits of Turkey Meat and their Importance | moonchat.in,"1,076",994,00:03:50,897,90.41%,85.04%,$0.00
Foods rich in Zinc: Top 27 Foods with High Zinc Contents and their Benefits!! | moonchat.in,"1,049",963,00:05:10,948,92.41%,90.47%,$0.00
Calcium: Top 10 Amazing Calcium-rich Vegetarian Foods | moonchat.in,"1,029",915,00:03:22,900,88.89%,86.69%,$0.00
Ragi Benefits: 10 Wonderful Health Benefits of Ragi and Ragi Recipes | moonchat.in,921,872,00:05:09,853,92.15%,91.31%,$0.00
Drumstick Leaves: 10 Unknown Health Benefits of Drumstick leaves | moonchat.in,897,846,00:04:37,808,93.56%,90.52%,$0.00
Platelets:10 Amazing Foods to Increase Blood Platelets Count | moonchat.in,793,731,00:04:18,719,91.52%,89.91%,$0.00
7 Dangerous Brain damaging Habits You should aware! | moonchat.in,541,500,00:01:42,135,88.89%,58.23%,$0.00
Triglycerides: Understanding Triglycerides and its Levels! | moonchat.in,479,436,00:04:10,428,90.65%,88.94%,$0.00
Bodybuilding: Top 10 Foods for Bodybuilding | moonchat.in,352,320,00:03:14,306,82.68%,82.10%,$0.00
Curry Leaves Benefits: 10 Wonderful Uses and Health Benefits of Curry Leaves | moonchat.in,330,303,00:05:00,293,90.78%,87.27%,$0.00
Clapping! Unbelievable shocking health benefits of clapping!! | moonchat.in,327,306,00:05:25,305,94.43%,92.66%,$0.00
(not set),302,242,00:04:16,204,81.37%,67.55%,$0.00
Page not found | moonchat.in,220,186,00:00:32,145,86.21%,65.91%,$0.00
Copper Vessel Water Benefits: 12 Health Benefits of drinking water in Copper Vessel | moonchat.in,195,183,00:02:13,179,93.30%,89.74%,$0.00
Eating Broiler Chicken is worse than drinking Liquor!Shocking news | moonchat.in,195,173,00:02:49,100,85.00%,69.74%,$0.00
Ginger: 10 Wonderful Uses and Health Benefits of Ginger | moonchat.in,194,182,00:03:52,175,92.00%,89.18%,$0.00
Almonds: 9 Health Benefits of Eating Almonds | moonchat.in,192,164,00:01:41,43,81.40%,41.67%,$0.00
Fruits to Increase Blood: Eat These Fruits to Increase Your Blood! | moonchat.in,192,183,00:02:43,181,92.27%,90.62%,$0.00
Proteins :What are the Important Functions and Sources of Proteins? | moonchat.in,189,167,00:02:23,85,91.76%,60.32%,$0.00
Soft Drinks : Side Effects of Soft Drinks | Carbonated Drinks | moonchat.in,179,170,00:03:58,166,96.39%,92.74%,$0.00
Ragi: 9 Wonderful Health Benefits of Eating Ragi Balls! | moonchat.in,175,161,00:04:52,156,90.38%,87.43%,$0.00
Liver Damage: 7 Habits that damage your Liver! You Should Aware | moonchat.in,168,154,00:03:11,149,92.62%,89.29%,$0.00
Eggs: Top 10 Health Benefits of Eating Eggs!! | moonchat.in,157,143,00:02:17,21,80.95%,49.04%,$0.00
Diabetes Control Foods: 25 Foods to control Blood Sugar [Diabetes Control] | moonchat.in,146,114,00:04:02,72,83.33%,65.07%,$0.00
Top 15 Foods to Improve Eye Health(Prevents Vision related Problems) | moonchat.in,141,126,00:02:06,83,93.98%,68.09%,$0.00
Banana Leaves: 7 Incredible Health Benefits of Eating on Banana Leaves! | moonchat.in,136,127,00:03:10,126,92.06%,92.65%,$0.00
Signs of Ego in Relationship | How to control it? | moonchat.in,135,131,00:01:47,131,96.18%,96.30%,$0.00
7 Tips to surprise your girl | How to surprise your lover | moonchat.in,127,123,00:01:34,94,98.94%,77.95%,$0.00
Health Archives | moonchat.in,126,102,00:00:35,28,57.14%,27.78%,$0.00
Pregnancy Diet for Vegetarians: 10 Important Diet you Should Follow During Pregnancy | moonchat.in,124,107,00:01:24,28,85.71%,54.84%,$0.00
6 Foods to Prevent and Treat Chikungunya Fever | moonchat.in,123,89,00:01:30,22,86.36%,38.21%,$0.00
Omega 3: Top 10 Foods that are rich in Omega 3 Fatty Acids | moonchat.in,121,113,00:02:40,102,93.14%,85.12%,$0.00
Carrot: How to use carrot for skin health? 7 tips to use carrot | moonchat.in,111,91,00:01:22,33,90.91%,41.44%,$0.00
Omega-3 fatty acids amazing benefit for us! | moonchat.in,102,83,00:01:24,10,90.00%,41.18%,$0.00
Peanuts: 10 Health Benefits of Peanuts or Groundnuts | moonchat.in,102,97,00:01:53,80,92.50%,81.37%,$0.00
"Arun, Author at moonchat.in",98,78,00:00:30,21,47.62%,30.61%,$0.00
Importance of Potassium: What Potassium does to Your Body? | moonchat.in,98,90,00:01:46,85,91.76%,85.71%,$0.00
Wheat Benefits: 10 Wonderful Health Benefits of Eating Wheat! Everyone should Know!,98,92,00:05:00,88,94.32%,88.78%,$0.00
Nutrition Archives | moonchat.in,89,66,00:00:19,17,64.71%,22.47%,$0.00
Constipation: 5 Home Remedies that relieves from Constipation ! | moonchat.in,82,71,00:02:46,13,76.92%,39.02%,$0.00
Osteoporosis: Habits that reduce Bone density and cause Osteoporosis! | moonchat.in,82,80,00:01:46,76,94.74%,91.46%,$0.00
"SIVA, Author at moonchat.in",78,55,00:00:40,50,74.00%,60.26%,$0.00
10 Secrets to make your girl fall in love with you | moonchat.in,71,63,00:02:02,20,90.00%,50.70%,$0.00
6 Ways to spend time with your loved ones | moonchat.in,71,70,00:01:34,70,97.14%,97.18%,$0.00
Importance of Calcium: What is Calcium and their Importance to the Body? | moonchat.in,66,53,00:01:19,42,83.33%,65.15%,$0.00
"Lazy Person : be Proud about yourself, having more benefits | moonchat.in",66,65,00:04:58,63,96.83%,96.97%,$0.00
Castor Oil Benefits: 14 Incredible Health Benefits of Castor Oil | moonchat.in,65,63,00:02:10,62,96.77%,96.92%,$0.00
Fitness Archives | moonchat.in,65,52,00:00:53,15,53.33%,27.69%,$0.00
Figs: 8 Unknown Health Benefits of Figs! | moonchat.in,64,63,00:02:08,30,90.00%,60.94%,$0.00
Dates: Miracle Health Benefits of eating Dates! | moonchat.in,63,59,00:00:37,43,95.35%,74.60%,$0.00
Top 10 Vegetarian Sources of Protein-Rich Foods | moonchat.in,61,54,00:03:21,42,88.10%,67.21%,$0.00
Egg Health Benefits: What Happens to Your Body When You Eat Two Eggs Daily? | moonchat.in,59,49,00:01:42,29,86.21%,54.24%,$0.00
Guava Benefits: Health Benefits Of Eating Guava Fruits! | moonchat.in,57,53,00:00:54,35,88.57%,71.93%,$0.00
Blood Cleansing Foods: 18 Blood Cleansing Foods to Clean Your Blood Naturally!! | moonchat.in,48,26,00:00:39,19,89.47%,45.83%,$0.00
Relationship Archives | moonchat.in,47,36,00:00:21,11,90.91%,40.43%,$0.00
Girls hate : When boys are doing 7 things at first time meet | moonchat.in,46,44,00:04:14,43,90.70%,89.13%,$0.00
